f242900,琉球HEAT 宜野湾店,りゅうきゅうひーと ぎのわんてん
6207304,PLOUGHMAN’S LUNCH BAKERY,ぷらうまんずらんちべーかりー
7262663,月虹,げっこう
6979955,ビストロ キャトルセゾン,びすとろきゃとるせぞん
6415970,麺工房 島風,めんこうぼうしまかぜ
5889987,テテラ,ててら
7389891,そば処 やじろべぇ,そばところやじろべぇ
5514677,永大安,えいたいあん
5463779,ジョイフル 大山店,じょいふるおおやまてん
6970333,喫茶 育,きっさいく
6730757,真栄原鮮魚店,まえはらせんぎょてん
5657528,ゆらてぃく,ゆらてぃく
5453951,KING TACOS 長田店,きんぐたこすながたてん
6979956,タコハウスタイラ,たこはうすたいら
7194137,タイガー本舗 イオンモール沖縄ライカム,たいがーほんぽいおんもーるおきなわらいかむ
6937107,小料理麗春花,こりょうりれいしゅんか
7257152,沖縄キッチン,おきなわきっちん
5514673,担々亭 大山店,たんたんていおおやまてん
6396366,やきとり大福,やきとりだいふく
7194144,センプレピッツァ,せんぷれぴっつぁ
5343312,ともだち,ともだち
7161409,スターバックスコーヒー 沖縄宜野湾店,すたーばっくすこーひーおきなわぎのわんてん
7205127,五穀 沖縄ライカム店,ごこくおきなわらいかむてん
6385658,中城ハイウェイショップ上り線 スナックコーナー,なかぐすくぱーきんぐえりあのぼりせんすなっくこーなー
5653396,七輪焼肉 安安 宜野湾店,しちりんやきにくあんあんぎのわんてん
6733027,EMウェルネスリゾート コスタビスタ沖縄 ホテル＆スパ BAR LOUNGE ESTRELLA,いーえむうぇるねすりぞーとこすたびすたおきなわほてるあんどすぱばーらうんじえすとれーや
5232508,焼き肉ステーション BAMBOHE バンボシュ 宜野湾店,やきにくすてーしょんばんぼしゅぎのわんてん
5889979,キャビア,きゃびあ
7194272,JACK IN THE DONUTS イオンモール沖縄ライカム店,じゃっくいんざどーなついおんもーるおきなわらいかむてん
5908284,cafe nicoli scone＆smoothie,かふぇにこりすこーんあんどすむーじー
7054129,ニュー割烹,にゅーかっぽう
5543844,パブロ,ぱぶろ
6902890,キッチンHana‐Gasa,きっちんはながさ
7205300,張家飯 イオンモール沖縄ライカム店,ちゃんじゃーはんいおんもーるおきなわらいかむてん
7207158,まかない家 宜野湾本店,まかないやぎのわんほんてん
6841380,mam marl,まんまある
7205585,スターバックスコーヒー イオンモール沖縄ライカム店,すたーばっくすこーひーいおんもーるおきなわらいかむてん
5081921,流木ダイニング 木の下屋,りゅうぼくだいにんぐきのしたや
5353749,笑,えみ
5889985,セントポーリア,せんとぽーりあ
7205581,野菜を食べるカレー camp express イオンモール沖縄ライカム店,やさいをたべるかれーきゃんぷえくすぷれすいおんもーるおきなわらいかむてん
7205580,魅力屋 イオンモール沖縄ライカム店,かいりきやいおんもーるおきなわらいかむてん
5411138,中華食堂パンダ,ちゅうかしょくどうぱんだ
7328011,アースハンモックカフェ,あーすはんもっくかふぇ
6439664,きらく亭,きらくてい
7253287,おうちカフェ kanjaya,おうちかふぇかんじゃや
5514678,札幌や 伊佐店,さっぽろやいさてん
5453950,ALL AMERICAN FOOD A＆W 普天間店,おーるあめりかんふーどえいあんどだぶりゅーふてんまてん
7194269,博多だるまSOUTHJAPANイオンモール沖縄ライカム店,はかただるまさうすじゃぱんいおんもーるおきなわらいかむてん
7224934,ucchee’s cafe,うちーずかふぇ
6296574,ラグナガーデンホテル 網焼香房 輪,らぐながーでんほてるあみやきこうぼうりん
6050971,割ぽう・田舎,かっぽういなか
6350792,和心,わごころ
5310116,おでん花織,おでんはなおり
6753373,まるやす 中城店,まるやすなかぐすくてん
5646198,琉球料理和の店心花,りゅうきゅうりょうりかずのみせここはな
7228427,にわかラーメン,にわからーめん
6404465,ちゅるげーそばなかぐすく古民家,ちゅるげーそばなかぐすくこみんか
6385657,中城パーキングエリア（下り線） スナックコーナー,なかぐすくぱーきんぐえりあくだりせんすなっくこーなー
6038021,カラオケハウス ぴあ,からおけはうすぴあ
6767521,ビボリンゴ,びぼりんご
7228439,グリル銀次 イオンライカム店,ぐりるぎんじいおんらいかむてん
6281473,じゃじゃまる,じゃじゃまる
6716999,城まんじゅう,ぐすくまんじゅう
7194143,フレッシュネスバーガー イオンモール沖縄ライカム店,ふれっしゅねすばーがーいおんもーるおきなわらいかむてん
6986688,しゃぶしゃぶ専門店中城和大萬味館,しゃぶしゃぶせんもんてんなかじょうかずひろよろずあじかん
6747206,米や松倉,こめやまつくら
5203020,旬,しゅん
5202127,居酒屋 万太,いざかやまんた
6309299,vino e cucina IL CUORE,ゔぃーのえくっちーないるくおーれ
5822578,赤道ラーメン 北中城店,あかみちらーめんきたなかぐすくてん
5889977,喫茶ルクソウル,きっさるくそうる
5453952,KING TACOS 普天間店,きんぐたこすふてんまてん
6455589,足立屋,あだちや
6927247,ココラータ,ここらーた
6068635,動く町 中城 ｢冒険の国｣店,うごくまちなかぐすくぼうけんのくにてん
6027868,CACTUS EATRIP,かくたすいーとりっぷ
7209084,カフェ マーメイド,かふぇまーめいど
6396367,コルネとサンドのお店pippi,こるねとさんどのおみせぴぃっぴ
7185729,大かまど飯寅福 イオンモール沖縄ライカム,おおかまどめしとらふく いおんもーるおきなわらいかむ
7204124,和風亭 なかぐすく店,わふうていなかぐすくてん
7194130,牛たん仙台なとり 沖縄ライカム店,ぎゅうたんせんだいなとりおきなわらいかむてん
5894490,モスバーガー宜野湾大謝名店,もすばーがーぎのわんおおじゃなてん
7249941,パーラーまぁ～みぃ～,ぱーらーまぁみぃ
6189687,IRINA,いりな
6299093,mou,むー
5098660,お好み焼き馬之助 真栄原店,おこのみやきうまのすけまえはらてん
5841087,ゆたかやそば,ゆたかやそば
5889986,ティールームシェルティー,てぃーるーむしぇるてぃー
7308370,まさちゃん,まさちゃん
6970321,ひがし食堂,ひがししょくどう
6937106,花いちもんめ,はないちもんめ
7068206,サーティワンアイスクリーム サンエー宜野湾コンベンションシティ店,さーてぃわんあいすくりーむさんえーぎのわんこんべんしょんしてぃてん
7183180,海鮮家 梛,かいせんやなぎ
6420882,ミスタードーナツ サンエーコンベンションシティ,みすたーどーなつさんえーこんべんしょんしてぃ
7204966,Lee's kitchen,りーずきっちん
5202189,むりぶし（群星）居酒屋,むりぶしいざかや
7090945,ルーラーズ タコライス,るーらーずたこらいす
6220884,くいーんず・てーぶる,くいーんずてーぶる
5081933,普天間コーヒー シャープ,ふてんまこーひーしゃーぷ
7353498,みそ汁亭 秀 我如古店,みそしるていひでがねこてん
7311873,本マグロ鉄板炉端劇場 魚島屋,ほんまぐろてっぱんろばたげきじょううおじまや
6110260,Meison de cafe SEISHIKA,めぞんでかふぇせいしか
6902891,マンガ喫茶 ビッグピッグ,まんがきっさびっぐぴっぐ
7368940,食堂milkdai,しょくどうみるくだい
7094732,JUNK,じゃんく
6996864,Tamanegi,たまねぎ
5202119,居酒屋 おっちゃん酒店,いざかやおっちゃんさけてん
5685270,お食事処 大京,おしょくじどころだいきょう
7350393,ブルーシール MEGAドン・キホーテ宜野湾店,ぶるーしーるめがどんきほーてぎのわんてん
6457581,桑の実,くわのみ
5202161,だいどころ家じゃむ,だいどころやじゃむ
5202147,げんてん,げんてん
6189516,ティーズチョコレート,てぃーずちょこれーと
7073707,あぱらぎ 宜野湾店,あぱらぎぎのわんてん
7353502,Mom’s kitchen ＆ プレジール,まーむずきっちんぷれじーる
7227039,美島食堂,みしましょくどう
6437987,ZUMI CAFE,ずみかふぇ
7000129,Football Life,ふっとぼーるらいふ
5202129,居酒屋幸乃,いざかやゆきの
6753376,ラーメン大桜 沖縄泡瀬店,らーめんおおざくらおきなわあわせてん
7371870,かぎしっぽ,かぎしっぽ
7095692,pippiのごはん,ぴっぴのごはん
6970332,酒楽 COLIBRI,しゅらくこりぶりー
7378084,TAKANE men ＆ bar,たかねめんあんどばー
6350915,麺家 にらい,めんやにらい
6077021,Tone 琉大北口店,とーん りゅうだいきたぐちてん
0101368,手打ちラーメン かなざわ,てうちらーめんかなざわ
6931984,Cat Cafe Nyangusk,きゃっとかふぇにゃんぐすく
6346358,和食 樂,わしょくらく
7221571,星のたね,ほしのたね
6299098,ムーンオーシャン宜野湾 ホテル＆レジデンス ALL DAY DINING OCEAN GRILL,むーんおーしゃんぎのわんほてるあんどれじでんすおーるでいだいにんぐおーしゃんぐりる
0271506,伊佐浜食堂,いさはましょくどう
5113913,マンガ喫茶シャルマン,まんがきっさしゃるまん
6437997,桃原 宜野湾伊佐店,とうげんぎのわんいさてん
7337305,A&WPlusCafe中部徳洲会病院店,えーあんどだぶるぷらすかふぇちゅうぶとくしゅうかいびょういんてん
7161424,マリソル,まりそる
5890002,るねさんす,るねさんす
6299113,山羊料理店 ふるさと,やぎりょうりてんふるさと
5889981,三匹の子豚,さんびきのこぶた
6205937,ドイツ菓子 Regens,どいつかしれーげんす
5453959,ミスタードーナツ サンエー大山,みすたーどーなつさんえーおおやま
6930860,プロムナード,ぷろむなーど
5909322,島のごちそう,しまのごちそう
5889982,さんるーむキッチン,さんるーむきっちん
7246403,カフェ花華,かふぇはなはな
6192606,パティスリーきゃっする 長田店,ぱてぃすりーきゃっするながたてん
6420883,ミーコ（美ー子）の店,みーこのみせ
6410089,カフェ子猫の部屋,かふぇこねこのへや
7368926,居食屋なんじぁぁれ,いしょくやなんじぁぁれ
5758451,ふるさと居酒屋 喜び,ふるさといざかやよろこび
5081915,梅一番,うめいちばん
5343306,うない,うない
6368722,居酒屋呑人,いざかやどんと
6939078,酒食家 江成,しゅしょくやえなり
1031381,割烹 ハイウェイ,かっぽうはいうぇい
5656740,まるよし,まるよし
6902894,まぼろし,まぼろし
7189760,なかよし食堂,なかよししょくどう
5602957,峠の茶屋・笑福家,とうげのちゃやしょうふくや
6844158,GO FLAT,ばーごーふらっと
6382778,ダーツ＆ミュージックbar BOASORTE,だーつあんどみゅーじっくばーぼあそるち
6963792,中華どんぶりの店,ちゅうかどんぶりのみせ
6350358,えん,えん
5202163,ちゅんなー村,ちゅんなーむら
7337316,まるよし製麺所,まるよしせいめんしょ
7279469,とぅるばいんcafe 寄yadoriki,とぅるばいんかふぇやどりぎ
7094741,味処 とうやま,あじどころとうやま
6844390,Entertainment Cafe＆Bar Nest,えんたーていめんとかふぇあんどばーねすと
6985869,手づくりおやつの店 グルマン,てづくりおやつのみせぐるまん
3111457,CAFE＆DINING GRAND BLUE,かふぇあんどだいにんぐぐらんぶるー
5203022,又吉笑点,またよししょうてん
5814478,くわっちぃやー,くわっちぃやー
6451893,はなみ食堂,はなみしょくどう
6437996,Foods dining 舞,ふーずだいにんぐまい
5758438,動く町 光の都市店 宜野湾店,うごくまちひかりのとしてんぎのわんてん
5202181,ひろた,ひろた
6892428,味処 阜,あじどころゆたか
7013851,RAINBOW COFFEE 中城本店,れいんぼーこーひーなかぐすくほんてん
6299090,Bar Lounge F,ばーらうんじえふ
6188582,宗像堂ベーカリー,むなかたどうべーかりー
6396368,小料理やな川,こりょうりやながわ
7340260,トラットリア ショーブー,とらっとりあしょーぶー
5672394,ビック漫,びっくまん
6299101,カラオケスタジオ独楽 coma,からおけすたじおこま
5617614,笹家,ささや
6953027,ロックジャミン,ろっくじゃみん
7205220,マナカフェ,まなかふぇ
7166669,オアシス食堂,おあしすしょくどう
7205241,いろは丸 沖縄ライカム店,いろはまるおきなわらいかむてん
0357401,SHOT BAR BIGTOMORROW,しょっとばーびっぐとぅもろー
6919259,サラク,さらく
6267178,Caribbean cafe bar Mil besos,かりびあんかふぇばーみるべっそ
5806914,喜納島,きなしま
5453958,ミスタードーナツ 宜野湾,みすたーどーなつぎのわん
6996874,小料理 じゅげむ,こりょうりじゅげむ
5515297,やぎ料理店 南山,やぎりょうりてんなんざん
6851028,咲樹,さき
7278850,がちまヤー,がちまやー
6022366,ラグナガーデンホテル 中国料理 壺中天 Kochuten,らぐながーでんほてるちゅうごくりょうりこちゅうてん
5203023,くつろぎ DINING あおいや,くつろぎだいにんぐあおいや
6209064,酒と中華の店 鉄鍋家 TETSUNABEYA,さけとちゅうかのみせてつなべや
5113914,マンガ喫茶U,まんがきっさゆう
6732637,うえず屋,うえずや
7401717,Slowlife Cafe,すろーらいふかふぇ
5202120,居酒屋割烹普 天間亭,いざかやかっぽうふてんまてい
5106043,みやらび居酒屋,みやらびいざかや
5809043,ラーメン工場 無双,らーめんこうじょうむそう
7288931,南乃畑,みなみのはたけ
5801124,ジョイフル まえはら店,じょいふるまえはらてん
5642661,我部祖河食堂 中城店,がぶそかしょくどうなかぐすくてん
5329448,シーサー,しーさー
5202125,居酒屋 天地村,いざかやてんちむら
6994385,JOIA DE LEQUIO CAFE,じょいあでれきおかふぇ
6339060,伊波家,いはや
6427590,おでん未亡人,おでんみぼうじん
6200544,メヒコタコス,めひこたこす
7137052,カラオケ本舗まねきねこ 宜野湾店,からおけほんぽまねきねこぎのわんてん
5917647,赤道ラーメン 真栄原店,あかみちらーめんまえはらてん
7349397,居酒屋 柚子,いざかやゆず
5635115,こがね日和,こがねひより
7274764,シガー ルーム,しがーるーむ
5908085,カラオケ喫茶うりずん,からおけきっさうりずん
7311874,なりた家,なりたや
6730411,讃岐製麺,さぬきせいめん
5733494,大西テラスゴルフクラブレストラン,おおにしてらすごるふくらぶれすとらん
